时间(s),实际响应温度(℃),真实仿真温度(℃),阀门开度(%),误差(℃),Kp,Ti/10,Td*2
7.245000000000000000e+03,3.999746091078100108e+02,4.042826122634150465e+02,4.296642189961784908e+01,2.539089218998924480e-02,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.246000000000000000e+03,4.002492632236475743e+02,4.042265119106214684e+02,3.591408002736773852e+01,-2.492632236475742502e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.247000000000000000e+03,4.006551183025617888e+02,4.045600649140025666e+02,3.401378767010103843e+01,-6.551183025617888234e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.248000000000000000e+03,4.004049381875716449e+02,4.047091798547202188e+02,3.119231825191542740e+01,-4.049381875716449031e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.249000000000000000e+03,4.000223892651486608e+02,4.044341935031534376e+02,3.384270334612745756e+01,-2.238926514866079742e-02,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.250000000000000000e+03,3.995094910999541185e+02,4.045833882519015106e+02,3.713260940802720000e+01,4.905089000458815462e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.251000000000000000e+03,3.995805618754346824e+02,4.041414228016689094e+02,4.107496041232313644e+01,4.194381245653175938e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.252000000000000000e+03,3.998372609548276273e+02,4.046051621344348632e+02,3.994760293797743600e+01,1.627390451723726983e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.253000000000000000e+03,3.997391593591070205e+02,4.044169356549871281e+02,3.757249048063204810e+01,2.608406408929795361e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.254000000000000000e+03,3.998022686316203362e+02,4.045246735958643853e+02,3.837626453100416768e+01,1.977313683796637633e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.255000000000000000e+03,3.998666627574307881e+02,4.045471124878366140e+02,3.780406529372447721e+01,1.333372425692118668e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.256000000000000000e+03,3.995748851495965255e+02,4.041084609626680049e+02,3.730419163172314967e+01,4.251148504034745201e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.257000000000000000e+03,3.997714042640249659e+02,4.042836318723490763e+02,3.972755691717372883e+01,2.285957359750341311e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.258000000000000000e+03,3.992251644612891823e+02,4.044916017654597340e+02,3.796252779962983936e+01,7.748355387108176728e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.259000000000000000e+03,4.001734342305306882e+02,4.041898569312896825e+02,4.241209066225790991e+01,-1.734342305306881826e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.260000000000000000e+03,4.003767313424069698e+02,4.041483275207098700e+02,3.437409865375829554e+01,-3.767313424069698158e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.261000000000000000e+03,3.997121165488649126e+02,4.048503476996679638e+02,3.327144230892461962e+01,2.878834511350873981e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.262000000000000000e+03,4.005664718974032326e+02,4.037346227624766470e+02,3.915551744783125088e+01,-5.664718974032325605e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.263000000000000000e+03,4.003137863471350215e+02,4.042640584939844643e+02,3.208670483827332731e+01,-3.137863471350215150e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.264000000000000000e+03,4.002700466739481726e+02,4.043059434798078087e+02,3.470513981434848461e+01,-2.700466739481726108e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.265000000000000000e+03,4.000736342862068682e+02,4.041458309021280684e+02,3.523304513493577872e+01,-7.363428620686818249e-02,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.266000000000000000e+03,4.003123547318710962e+02,4.045484317176066611e+02,3.688747193152619985e+01,-3.123547318710961918e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.267000000000000000e+03,3.998237846774342756e+02,4.047247751012243384e+02,3.484326384663830112e+01,1.762153225657243638e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.268000000000000000e+03,4.001671025422104435e+02,4.042858211224212255e+02,3.888434921329432115e+01,-1.671025422104435165e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.269000000000000000e+03,4.006130190785282252e+02,4.047703782713170426e+02,3.577931786227432553e+01,-6.130190785282252364e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.270000000000000000e+03,4.005372168093044252e+02,4.050741099738274897e+02,3.224220907001325287e+01,-5.372168093044251691e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.271000000000000000e+03,3.999780493574083948e+02,4.045980512946342742e+02,3.325036811675147419e+01,2.195064259160517395e-02,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.272000000000000000e+03,3.999859160392662147e+02,4.043981714232531317e+02,3.794092905953178985e+01,1.408396073378526125e-02,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.273000000000000000e+03,3.999860242785385935e+02,4.041876941105883816e+02,3.752492774410052334e+01,1.397572146140646510e-02,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.274000000000000000e+03,3.996931049955054505e+02,4.042330404676603735e+02,3.728463048190805296e+01,3.068950044945495392e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.275000000000000000e+03,4.001639454123791779e+02,4.042573686996218498e+02,3.947560457323396577e+01,-1.639454123791779239e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.276000000000000000e+03,3.998860582314177918e+02,4.045199934507473358e+02,3.532720815591862618e+01,1.139417685822081694e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.277000000000000000e+03,4.003044260838226478e+02,4.044384252325424427e+02,3.771564209410011870e+01,-3.044260838226477972e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.278000000000000000e+03,4.004638136808665649e+02,4.045526619437511044e+02,3.421730265162580764e+01,-4.638136808665649369e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.279000000000000000e+03,3.998998548293738509e+02,4.043123465526766154e+02,3.319354325298340314e+01,1.001451706261491381e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
