时间(s),实际响应温度(℃),真实仿真温度(℃),阀门开度(%),误差(℃)
1.616000000000000000e+03,3.998092479655809370e+02,4.044529055713824164e+02,3.785337528642349270e+01,1.907520344190629658e-01
1.617000000000000000e+03,3.996600877085198249e+02,4.047417081858726533e+02,3.760549126185255631e+01,3.399122914801750994e-01
1.618000000000000000e+03,3.999848337233163420e+02,4.039332060079618145e+02,3.815019416083960380e+01,1.516627668365799764e-02
1.619000000000000000e+03,3.998806667049908015e+02,4.041612390115796529e+02,3.659729731724104340e+01,1.193332950091985367e-01
1.620000000000000000e+03,3.998164843876013492e+02,4.043504045263900366e+02,3.712702181104873489e+01,1.835156123986507737e-01
1.621000000000000000e+03,4.001229407349862868e+02,4.046052822318293920e+02,3.741036044721820275e+01,-1.229407349862867704e-01
1.622000000000000000e+03,4.001289232638824274e+02,4.043355585209910714e+02,3.605121999339356620e+01,-1.289232638824273636e-01
1.623000000000000000e+03,3.997834432943017759e+02,4.042652360131023670e+02,3.616464286362715086e+01,2.165567056982240501e-01
1.624000000000000000e+03,4.003853066319817913e+02,4.043696012525881542e+02,3.776589466314086962e+01,-3.853066319817912699e-01
1.625000000000000000e+03,3.999010928469384112e+02,4.046437258844988492e+02,3.503637436103503688e+01,9.890715306158881504e-02
1.626000000000000000e+03,4.001203626787211078e+02,4.041602626373003204e+02,3.737283720547743826e+01,-1.203626787211078408e-01
1.627000000000000000e+03,3.995902863160662264e+02,4.041540479326213244e+02,3.632436630836195945e+01,4.097136839337736092e-01
1.628000000000000000e+03,4.004782438224946759e+02,4.042050676631425290e+02,3.868062951079875234e+01,-4.782438224946758965e-01
1.629000000000000000e+03,3.999033757079440079e+02,4.049578424252070477e+02,3.458052701588759703e+01,9.662429205599210036e-02
1.630000000000000000e+03,3.997245981830635060e+02,4.048100016495701539e+02,3.737224005687752992e+01,2.754018169364940150e-01
1.631000000000000000e+03,4.000426004086126568e+02,4.041163152300511001e+02,3.805346329580503806e+01,-4.260040861265679268e-02
1.632000000000000000e+03,3.996116358404368611e+02,4.048450974272067810e+02,3.651664942447462892e+01,3.883641595631388554e-01
1.633000000000000000e+03,4.003325551187793963e+02,4.046545768565860612e+02,3.845571732871940185e+01,-3.325551187793962526e-01
