时间(s),输入信号(%),动态响应温度(℃)
4268,44.91821657983191,404.4658837800012
4269,45.0961315557629,404.4600641973988
4270,45.239189208049794,404.44836351753935
4271,45.33420130350392,404.4420648269888
4272,45.397803338093084,404.449413117842
4273,45.436946271203425,404.4687798330896
4274,45.42740704472759,404.4909557862095
4275,45.366933240531,404.50847249669255
4276,45.30978932965861,404.52079693255695
4277,45.31374389751589,404.5304880481766
4278,45.39153491044001,404.5391380934073
4279,45.52073856207473,404.54640033170256
4280,45.66404891010703,404.5517381620865
4281,45.77757953775293,404.55851533939983
4282,45.81736599105403,404.57051161427046
4283,45.7540075466914,404.58092307243106
4284,45.59174016633919,404.57404419416264
4285,45.36723855687068,404.5431913054687
4286,45.13276710882536,404.499441795866
4287,44.94994895140871,404.46038049593955
4288,44.8758045657172,404.4386276245154
4289,44.927989574803846,404.4409844963681
4290,45.07223564628375,404.46740125159204
4291,45.246826541925614,404.50782489614335
4292,45.39338094204401,404.54572443197384
4293,45.47670451776824,404.56916563950614
4294,45.478053360390426,404.5800032726242
4295,45.3762401567264,404.59092693987697
4296,45.16750625017556,404.61400617192294
4297,44.897543615888495,404.6511549723685
4298,44.63552899468185,404.69269009003233
4299,44.42562730642096,404.72482923123425
4300,44.27878562006964,404.7374982125316
4301,44.19156939938039,404.7268254115925
4302,44.172789732613914,404.6947717767069
4303,44.25305253670213,404.64673323898984
4304,44.44929507515424,404.589317340689
4305,44.72367296029654,404.53204634570267
4306,44.99796643747847,404.4889278115108
4307,45.209454471197574,404.4713663384504
4308,45.33913251508941,404.4785770616262
4309,45.393242203942265,404.50013147564056
4310,45.381699635149836,404.5254876917426
4311,45.320735899393796,404.54728704893955
4312,45.23613720000345,404.5612778819738
4313,45.14767312322715,404.56682225313153
4314,45.064682747506964,404.56462099209256
4315,45.00792469816236,404.5541183240644
4316,45.019559311158,404.5356718953493
4317,45.12631494310526,404.5144788219497
4318,45.284853771446585,404.49881132999394
4319,45.39011735018976,404.493509106291
4320,45.358520200202406,404.4970335786628
4321,45.18959282871428,404.50365119198096
4322,44.948116603623404,404.5065009935707
4323,44.719106449660444,404.5004793972725
4324,44.576717242106334,404.48468755119023
4325,44.55048049756166,404.4626289891885
4326,44.6083625691952,404.4387957169141
4327,44.689469232120665,404.4146682109292
4328,44.757255321604326,404.3908280771022
4329,44.81773966264783,404.36990888726365
4330,44.88571624649681,404.3522488134651
4331,44.95161114153072,404.3354965778432
4332,44.99626530885932,404.32343971295455
4333,45.01608565359722,404.3274505810135
4334,45.01600435871393,404.35416074661686
4335,44.987466996411946,404.3980960627654
4336,44.90766489085318,404.44970009826983
4337,44.76706547631639,404.50010123984475
4338,44.58453885598859,404.5387899778688
4339,44.38924693792073,404.56121473066736
4340,44.204810197251426,404.5746981989866
4341,44.05848885237244,404.58881722957966
